provider,provider_id,provider_slug,plan_title,capacity,period,price,price_usd_promo,price_usd_base,promo_zero_any,base_zero_any,coverage_count,scope_pref,plan_id
GIGAGO,645a23dbc6a3d88eeb76b9ea,gigago,France eSIM,1000 MB/day,15 Days,48.93,48.93,51.5,False,False,0,0,68c797c930b8084fddce3701
Firsty,66719ce7b8d1560ec8b11691,firsty,Firsty First Class (France) - 22 Days,5000 MB/day,22 Days,51.593828,,51.593828,False,False,0,0,68b1d5022f01bb37575e8d4d
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global E 20GB 3Day,20000 MB,3 Days,51.81,,51.81,False,False,1,2,68c891f7fd7fabd3fefa6c68
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global F 10GB 5Day,10000 MB,5 Days,51.81,,51.81,False,False,1,2,68c891f8fd7fabd3fefaa76c
ByteSIM,67da4da6ff6041b77e7c4db1,bytesim,France 3GB/day for 20 days,3000 MB/day,20 Days,51.9,,51.9,False,False,0,0,68c77b152468ddd077932d9a
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe &amp; Asia &amp; US (41 Countries) - 30 Days/Total 50GB,50000 MB,30 Days,51.910871758835135,,51.910871758835135,False,False,1,1,68bfdb568525b2c8ebf5aa48
ETravelSim,640e71222097580dd4a88d0b,etravelsim,Travel eSIM for Europe (ZF) 50 GB - 30 Days / 100 Mins Local Calls,50000 MB,30 Days,51.99,,51.99,False,False,1,1,68c806e8a052e0b19f92907b
iRoamly,66ac21966d047ed956f30520,iroamly,Europe - 39 Countries-Unlimited-10 Days-Unlimited,500000 MB,10 Days,52.0,,52.0,False,False,0,1,68baada798ac519469ac441a
alodata,67f7ef2af6193863e84220a1,alodata,eSIM 50GB for 30 Days in Europe Lite,50000 MB,30 Days,41.6,41.6,52.0,False,False,0,1,68c1fd969c3a9b004e8ccaf8
Roamify,663a1a4b5fddf2d5b402906b,roamify,Mediterranean eSIM 30 GB - 30 Days,30000 MB,30 Days,49.4,49.4,52.0,False,False,1,0,68c89314fd7fabd3fefc99e0
