plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,data_display,validity_display
695b7561acee409245b372a4,65fd5b85efc7ee1e3444055a,MicroEsim,US &amp; Canada 15 Days / Total 5GB,5000,15,,12.25,11.25,11.25,True,15.633978749999999,False,True,False,False,False,False,,,False,False,True,False,2,4.9GB,15 days
69254aeface2426a75766ff0,5eb95317a5faaf0b7dfa9b24,Billion Connect,USA &amp; Canada eSIM  30 Days 5GB,5000,30,,12.28,11.052,11.052,True,15.358820723999997,False,True,,False,False,,,128.0,False,False,True,False,2,4.9GB,30 days
68d50c0800caad49ca950ec4,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada &amp; Mexico-eSIM-5GB-7 Days-Total,5000,7,,12.3,,12.3,False,17.0931501,False,True,False,False,False,False,,128.0,False,False,True,False,3,4.9GB,7 days
696244e250a9dd7bb88ce485,645a23dbc6a3d88eeb76b9ea,GIGAGO,USA Canada eSIM,1000,5,day,12.44,11.818,11.818,True,16.423320966,False,True,,False,False,,,,False,False,,False,2,1000MB,5 days
68dcc8fcd08bf4821b68cf78,63760bdc4e2b1c13f365b600,Yoho Mobile,North American 3GB 7Day,3000,7,,12.45,,12.45,False,17.30160315,False,True,False,False,False,False,,128.0,False,False,True,False,5,2.9GB,7 days
68dcacf469d4342c18ef8daa,6386134ed12efb94fc05f1fb,MobiMatter,Canada and USA 3 GB,3000,30,,12.49,,12.49,False,17.357190629999998,False,True,False,False,False,,,,False,False,True,False,3,2.9GB,30 days
68d6da97622eb11f916512ee,6579951a2ab42e58d53befcd,Esimatic,North America,2000,1,,12.49,11.241,11.241,True,15.621471566999999,False,True,True,False,False,False,,,False,False,True,False,4,2.0GB,1 days
68d50c0800caad49ca950e7d,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada-eSIM-5GB-5 Days-Total,5000,5,,12.5,,12.5,False,17.371087499999998,False,True,False,False,False,False,,,False,False,True,False,2,4.9GB,5 days
68d50c0800caad49ca950e7b,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada-eSIM-3GB-30 Days-Total,3000,30,,12.5,,12.5,False,17.371087499999998,False,True,False,False,False,False,,,False,False,True,False,2,2.9GB,30 days
69077807a930c70d6ca35018,663a2caf5fddf2d5b402fd46,mobineX,2 GB - 15 days,2000,15,,12.5,11.25,11.25,True,15.633978749999999,False,True,True,False,False,False,,,False,False,,False,2,2.0GB,15 days
68d50c0800caad49ca950e5c,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada-eSIM-500MB-10 Days-Daily,500,10,day,12.5,,12.5,False,17.371087499999998,False,True,False,False,False,False,,,False,False,True,False,2,500MB,10 days
